id,match_won,opp_win_percentage,toss_won,home,match_type,fifty_plus_t1,fifty_plus_partnerships_t1,fours_t1,sixes_t1,extras_t1,pp_wickets_t1,wickets_t1,balls_first_50_t1,dots_t1,run_rate_t1,highest_ind_t1,highest_ind_sr_t1,X2nd_highest_score_t1,highest_wickets_t1,worst_bowler_runs_t1,spinners_t1,pacers_t1,fifty_plus_t2,fifty_plus_partnerships_t2,fours_t2,sixes_t2,extras_t2,pp_wickets_t2,wickets_t2,balls_first_50_t2,dots_t2,run_rate_t2,highest_ind_t2,highest_ind_sr_t2,X2nd_highest_score_t2,highest_wickets_t2,worst_bowler_runs_t2,spinners_t2,pacers_t2
501208,1,0.4583,0,1,1,1,2,17,6,7,1,5,42,39,8.75,61,174.28,38,3,41,1,4,1,1,12,3,8,3,9,57,49,7.1,71,139.21,25,3,34,3,3
501210,0,0,0,1,1,2,2,16,7,17,0,2,43,38,9.1,100,151.51,53,2,43,2,4,2,1,23,4,11,0,2,36,38,9.68,81,135,56,1,48,2,4
501216,1,0.5435,1,0,0,1,1,20,3,5,1,4,42,37,8.4,62,151.21,49,2,38,3,3,1,1,12,5,13,3,7,45,47,7.6,51,106.25,23,1,36,2,4
501226,1,0.5,0,1,1,1,2,10,4,4,0,6,43,44,7.1,61,127.08,31,3,29,4,2,0,0,6,2,7,4,9,51,50,5.85,34,79.06,20,3,30,4,2
501227,0,0.451,0,1,1,1,0,13,5,13,1,6,44,43,8,54,125.58,25,3,37,1,5,1,1,17,5,18,1,7,26,44,8.25,56,147.36,26,2,37,3,3
501229,1,0.5,0,0,1,1,1,13,1,7,3,7,69,52,6.45,65,138.29,31,5,19,1,4,0,0,9,0,7,6,10,68,58,4.48,23,65.71,22,3,30,1,5
501233,1,0.4286,1,0,0,1,1,12,7,16,2,7,64,53,7.85,80,170.21,22,3,28,1,4,0,0,9,3,8,3,10,57,46,6.31,31,140.9,27,2,41,2,4
501235,0,0.58,0,0,0,0,0,15,2,5,1,7,37,44,7.15,35,166.66,30,3,41,4,2,0,1,9,6,11,1,4,53,45,7.38,47,134.28,29,2,31,3,3
501247,0,0.4815,1,0,0,0,0,12,0,10,1,9,37,51,6.25,24,96,23,1,44,2,3,1,2,14,6,5,1,1,15,33,9.72,52,167.74,44,2,26,3,3
501249,1,0.5769,0,0,1,1,2,19,6,8,0,3,32,32,9.8,53,132.5,46,3,36,3,3,1,0,11,1,5,2,10,39,44,6.82,52,144.44,20,1,47,3,3
501251,1,0.5849,0,1,1,0,1,15,3,22,1,8,41,44,8.15,43,126.47,31,4,22,2,3,0,0,10,2,5,3,10,50,38,6.77,17,154.54,15,5,25,3,4
501260,1,0.5088,1,1,1,2,1,17,15,27,1,2,45,39,11.6,106,192.72,79,4,30,1,4,0,0,12,4,9,3,10,45,51,7.11,34,125.92,15,2,50,1,5
501261,1,0.4615,1,1,1,0,0,10,6,4,2,5,47,38,7.6,46,139.39,32,1,38,3,2,1,0,10,3,9,1,5,49,40,7.05,51,121.42,33,2,34,3,3
501266,0,0.5,0,0,0,1,0,7,7,10,4,8,73,61,6.4,70,175,22,1,38,2,3,1,1,10,6,10,1,2,44,48,7.16,75,150,31,2,35,2,4
501267,0,0.5536,0,1,1,1,1,16,7,6,2,7,40,35,8.75,59,140.47,36,3,51,3,3,0,1,20,3,16,1,5,35,37,8.9,45,195.65,38,2,35,2,4
548308,1,0.5667,0,0,0,0,0,11,1,8,3,9,57,45,6.45,39,121.87,36,4,21,3,3,0,0,8,1,5,3,9,62,61,5.05,32,76.19,32,2,31,2,4
548309,1,0.4912,0,1,1,1,2,23,3,19,0,4,32,35,9.55,98,148.48,28,4,36,3,3,0,0,14,4,6,2,9,41,36,8,34,136,27,2,42,2,4
548310,1,0.5088,0,1,0,1,1,14,5,6,2,8,41,42,7.85,64,152.38,30,3,36,2,4,0,0,13,2,4,1,7,40,45,6.85,33,126.92,25,3,47,2,4
548311,1,0.4167,0,0,1,0,0,10,12,11,2,6,40,38,9.65,48,165.51,43,5,20,5,3,0,0,11,4,4,1,10,44,43,6.93,23,143.75,21,2,54,1,5
548319,0,0.4746,0,0,1,0,0,10,2,12,3,10,49,54,6.05,31,110.71,17,1,27,2,4,1,1,14,1,0,0,3,47,48,6.56,64,118.51,21,5,25,1,4
548320,0,0.431,1,0,1,0,1,13,2,10,0,5,51,52,6.55,31,93.93,28,1,32,4,2,0,0,11,3,12,1,5,48,46,7.08,31,81.57,29,3,27,3,3
548334,0,0.4762,1,1,0,1,2,16,4,6,0,6,48,38,8.15,79,154.9,35,2,41,2,4,1,1,15,4,6,0,4,40,35,8.41,68,170,30,2,39,3,3
548335,0,0.4426,0,1,1,1,0,9,2,3,1,7,44,41,6.3,50,100,23,2,35,4,3,0,0,12,1,9,1,5,46,45,6.68,30,107.14,30,2,26,2,4
548336,1,0.5556,0,0,1,2,1,17,6,19,1,3,48,40,9.45,76,131.03,59,4,37,2,3,1,1,15,1,10,0,7,37,46,7.15,58,138.09,20,2,44,2,3
548350,0,0.4848,0,1,1,1,1,11,8,6,1,5,55,44,7.9,71,169.04,45,2,32,2,4,1,1,14,6,4,1,6,33,41,8.21,50,138.88,45,3,48,2,5
548357,0,0.4769,1,1,1,0,0,13,4,14,2,9,35,45,7.65,36,163.63,30,2,35,1,4,1,2,14,1,16,0,4,30,35,8.25,56,127.27,36,2,42,1,4
548361,0,0.5753,0,1,1,0,0,12,2,12,2,6,57,54,6.3,33,117.85,27,2,34,1,4,0,0,11,5,13,2,6,55,56,6.99,23,135.29,19,2,38,2,4
548362,1,0.3077,0,0,1,2,1,13,9,9,0,3,34,44,8.65,57,183.87,53,3,36,2,3,0,1,14,2,4,3,9,36,45,6.9,38,165.21,31,1,46,2,4
548366,0,0.4928,1,0,1,2,1,15,6,9,1,4,43,29,9.5,71,142,67,2,47,2,4,1,0,20,7,8,2,6,40,38,9.7,65,185.71,31,2,41,2,4
548367,0,0.5694,0,1,0,1,0,12,8,14,2,6,47,48,8.55,64,213.33,47,1,39,3,3,2,1,16,7,11,3,5,52,42,8.79,81,150,52,1,54,1,5
548370,1,0.5753,0,0,1,0,0,12,3,14,2,7,57,47,7,41,95.34,27,4,32,3,2,0,0,9,3,4,1,10,54,59,5.63,27,112.5,21,2,33,1,5
548375,1,0.2857,1,0,1,0,1,12,2,7,1,4,68,45,6.8,42,140,41,2,20,4,2,0,0,1,2,10,1,8,46,47,5.1,22,91.66,17,2,35,2,4
548378,1,0.5417,1,2,1,0,1,14,6,4,1,4,40,40,8.1,40,190.47,32,2,36,3,3,0,1,14,3,14,2,8,37,46,7.2,40,121.21,28,1,48,1,4
598003,0,0.4932,1,1,0,0,0,10,1,3,2,9,77,61,4.95,25,96.15,19,1,28,1,4,0,1,14,1,3,1,2,27,29,8.1,43,153.57,31,2,31,1,4
598009,0,0.2581,1,0,1,1,1,17,1,7,0,5,44,41,7.25,54,112.5,30,2,38,1,4,1,1,11,8,6,1,3,22,47,7.92,64,120.75,32,2,41,2,4
598011,1,0.2813,1,1,0,1,3,17,8,3,0,3,39,41,9.15,62,193.75,44,3,33,2,4,0,0,11,5,5,3,8,46,49,7.1,38,146.15,24,1,63,3,4
